attributes,business_id,categories,city,full_address,hours,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type
"{'Wheelchair Accessible': True, 'Alcohol': 'full_bar', 'Has TV': True, 'Good For Groups': True, 'Outdoor Seating': True, 'Attire': 'casual', 'Wi-Fi': 'no', 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}, 'Accepts Credit Cards': True, 'Good For Kids': True, 'Noise Level': 'average', 'Caters': True, 'Ambience': {'romantic': False, 'intimate': False, 'upscale': False, 'trendy': False, 'hipster': False, 'casual': True, 'touristy': False, 'classy': False, 'divey': False}, 'Delivery': False, 'Good for Kids': True, 'Good For': {'lunch': True, 'dinner': True, 'latenight': False, 'brunch': False, 'breakfast': False, 'dessert': False}, 'Take-out': True, 'Takes Reservations': True, 'Waiter Service': True, 'Price Range': 2}",KPoTixdjoJxSqRSEApSAGg,"['Thai', 'Restaurants']",Phoenix,"2631 N Central Ave
Phoenix, AZ 85004","{'Saturday': {'close': '22:00', 'open': '11:00'}, 'Monday': {'close': '21:00', 'open': '11:00'}, 'Sunday': {'close': '21:00', 'open': '17:00'}, 'Friday': {'close': '22:00', 'open': '11:00'}, 'Thursday': {'close': '21:00', 'open': '11:00'}, 'Wednesday': {'close': '21:00', 'open': '11:00'}, 'Tuesday': {'close': '21:00', 'open': '11:00'}}",33.477933965703,-112.07352364174,Wild Thaiger,[],True,322,4.0,AZ,business
"{'Wheelchair Accessible': True, 'Alcohol': 'full_bar', 'Good for Kids': True, 'Outdoor Seating': False, 'BYOB/Corkage': 'yes_free', 'Wi-Fi': 'no', 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}, 'Good For Kids': True, 'Attire': 'casual', 'Take-out': True, 'Corkage': False, 'Caters': True, 'Takes Reservations': False, 'Order at Counter': False, 'Has TV': False, 'Good For Groups': True, 'BYOB': False, 'Price Range': 2, 'Noise Level': 'average', 'Ambience': {'romantic': False, 'intimate': False, 'upscale': False, 'trendy': False, 'hipster': False, 'casual': True, 'touristy': False, 'classy': False, 'divey': False}, 'Delivery': False, 'Accepts Credit Cards': True, 'Good For': {'lunch': True, 'dinner': False, 'latenight': False, 'brunch': False, 'breakfast': False, 'dessert': False}, 'Waiter Service': True}",BESmH-lmMm34_EefL8X9fQ,"['Mexican', 'Restaurants']",Phoenix,"1830 S Central Ave
Phoenix, AZ 85004","{'Saturday': {'close': '22:00', 'open': '08:00'}, 'Sunday': {'close': '20:00', 'open': '08:00'}, 'Friday': {'close': '22:00', 'open': '08:00'}, 'Thursday': {'close': '20:00', 'open': '08:00'}, 'Wednesday': {'close': '20:00', 'open': '08:00'}, 'Tuesday': {'close': '20:00', 'open': '08:00'}}",33.429424,-112.073929,Comedor Guadalajara,[],True,204,4.0,AZ,business
"{'Order at Counter': False, 'Wheelchair Accessible': True, 'Alcohol': 'full_bar', 'Has TV': False, 'Good For Groups': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Wi-Fi': 'no', 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}, 'Accepts Credit Cards': True, 'Good For Kids': True, 'Noise Level': 'average', 'Caters': True, 'Ambience': {'romantic': False, 'intimate': False, 'upscale': False, 'trendy': False, 'hipster': False, 'casual': True, 'touristy': False, 'classy': False, 'divey': False}, 'Delivery': False, 'Good for Kids': True, 'Good For': {'lunch': False, 'dinner': True, 'latenight': False, 'brunch': False, 'breakfast': False, 'dessert': False}, 'Take-out': True, 'Takes Reservations': True, 'Waiter Service': True, 'Price Range': 2}",DlCtdbceo4YNSI53cCL2lg,"['Restaurants', 'Italian']",Phoenix,"1418 N Central Ave
Phoenix, AZ 85004","{'Saturday': {'close': '22:00', 'open': '11:30'}, 'Monday': {'close': '21:30', 'open': '11:00'}, 'Sunday': {'close': '21:30', 'open': '11:30'}, 'Friday': {'close': '22:00', 'open': '11:00'}, 'Thursday': {'close': '21:30', 'open': '11:00'}, 'Wednesday': {'close': '21:30', 'open': '11:00'}, 'Tuesday': {'close': '21:30', 'open': '11:00'}}",33.46425,-112.074153,The Old Spaghetti Factory,[],True,221,3.0,AZ,business
"{'Wheelchair Accessible': True, 'Alcohol': 'beer_and_wine', 'Has TV': True, 'Good For Groups': True, 'Outdoor Seating': True, 'Attire': 'casual', 'Wi-Fi': 'no', 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}, 'Accepts Credit Cards': True, 'Good For Kids': True, 'Dogs Allowed': False, 'Noise Level': 'average', 'Caters': True, 'Ambience': {'romantic': False, 'intimate': False, 'upscale': False, 'trendy': False, 'hipster': False, 'casual': True, 'touristy': False, 'classy': False, 'divey': False}, 'Delivery': True, 'Good for Kids': True, 'Good For': {'lunch': True, 'dinner': False, 'latenight': False, 'brunch': False, 'breakfast': False, 'dessert': False}, 'Take-out': True, 'Takes Reservations': False, 'Waiter Service': False, 'Price Range': 2}",q1nDSpmV-FdTBNj6UuZvTg,"['Barbeque', 'Restaurants']",Phoenix,"2824 N Central Ave
Phoenix, AZ 85004","{'Saturday': {'close': '21:00', 'open': '10:00'}, 'Monday': {'close': '20:00', 'open': '10:00'}, 'Sunday': {'close': '20:00', 'open': '10:00'}, 'Friday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '20:00', 'open': '10:00'}, 'Wednesday': {'close': '20:00', 'open': '10:00'}, 'Tuesday': {'close': '20:00', 'open': '10:00'}}",33.4796505,-112.0742162,Honey Bear's BBQ,[],True,205,3.0,AZ,business
"{'Wheelchair Accessible': True, 'Alcohol': 'full_bar', 'Good for Kids': True, 'Outdoor Seating': True, 'BYOB/Corkage': 'no', 'Wi-Fi': 'free', 'Smoking': 'outdoor', 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': False, 'street': True}, 'Good For Kids': True, 'Attire': 'casual', 'Take-out': True, 'Good For Dancing': False, 'Caters': False, 'Takes Reservations': True, 'Coat Check': False, 'Has TV': True, 'Good For Groups': True, 'Music': {'dj': False, 'video': False, 'karaoke': False, 'background_music': True, 'live': False, 'jukebox': False}, 'Happy Hour': True, 'BYOB': False, 'Price Range': 2, 'Noise Level': 'loud', 'Ambience': {'romantic': False, 'intimate': False, 'upscale': False, 'trendy': False, 'hipster': False, 'casual': True, 'touristy': False, 'classy': False, 'divey': False}, 'Delivery': False, 'Accepts Credit Cards': True, 'Good For': {'lunch': True, 'dinner': True, 'latenight': False, 'brunch': False, 'breakfast': False, 'dessert': False}, 'Waiter Service': True}",oCA2OZcd_Jo_ggVmUx3WVw,"['Bars', 'American (Traditional)', 'Nightlife', 'Sports Bars', 'Barbeque', 'Restaurants']",Phoenix,"101 E Jackson St
Phoenix, AZ 85004","{'Saturday': {'close': '22:00', 'open': '11:00'}, 'Monday': {'close': '21:00', 'open': '11:00'}, 'Sunday': {'close': '17:00', 'open': '11:00'}, 'Friday': {'close': '22:00', 'open': '11:00'}, 'Thursday': {'close': '21:00', 'open': '11:00'}, 'Wednesday': {'close': '21:00', 'open': '11:00'}, 'Tuesday': {'close': '21:00', 'open': '11:00'}}",33.444801984944,-112.07211772211,Alice Cooper'stown,[],True,335,3.5,AZ,business
"{'Wheelchair Accessible': False, 'Alcohol': 'full_bar', 'Good for Kids': True, 'Outdoor Seating': True, 'BYOB/Corkage': 'yes_free', 'Wi-Fi': 'no', 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': False, 'street': True}, 'Good For Kids': True, 'Attire': 'casual', 'Take-out': True, 'Corkage': False, 'Caters': False, 'Takes Reservations': False, 'Has TV': False, 'Good For Groups': True, 'BYOB': False, 'Drive-Thru': False, 'Price Range': 2, 'Noise Level': 'average', 'Ambience': {'romantic': False, 'intimate': False, 'upscale': False, 'trendy': False, 'hipster': True, 'casual': False, 'touristy': False, 'classy': False, 'divey': False}, 'Delivery': False, 'Accepts Credit Cards': True, 'Good For': {'lunch': False, 'dinner': True, 'latenight': False, 'brunch': True, 'breakfast': False, 'dessert': False}, 'Waiter Service': True}",tb24fvNJfHhyKEXkKn12Xw,"['Soul Food', 'American (Traditional)', 'Diners', 'Restaurants']",Phoenix,"924 E Roosevelt St
Phoenix, AZ 85006","{'Saturday': {'close': '15:00', 'open': '10:00'}, 'Monday': {'close': '22:00', 'open': '17:00'}, 'Sunday': {'close': '15:00', 'open': '10:00'}, 'Friday': {'close': '02:00', 'open': '17:00'}, 'Thursday': {'close': '02:00', 'open': '17:00'}, 'Wednesday': {'close': '02:00', 'open': '17:00'}, 'Tuesday': {'close': '02:00', 'open': '17:00'}}",33.4588282,-112.0610433,Welcome Diner,[],True,266,4.5,AZ,business
"{'Wheelchair Accessible': True, 'Alcohol': 'full_bar', 'Has TV': True, 'Good For Groups': True, 'Outdoor Seating': False, 'Attire': 'casual', 'Wi-Fi': 'free', 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}, 'Accepts Credit Cards': True, 'Good For Kids': True, 'Noise Level': 'average', 'Caters': False, 'Ambience': {'romantic': False, 'intimate': False, 'upscale': False, 'trendy': False, 'hipster': False, 'casual': True, 'touristy': False, 'classy': False, 'divey': False}, 'Delivery': False, 'Good for Kids': True, 'Good For': {'lunch': True, 'dinner': False, 'latenight': False, 'brunch': False, 'breakfast': False, 'dessert': False}, 'Take-out': True, 'Takes Reservations': True, 'Waiter Service': True, 'Price Range': 2}",Cp6JGY5YIRncTV_My9nf9g,"['Seafood', 'Mexican', 'Restaurants']",Phoenix,"1605 E Garfield St
Phoenix, AZ 85006","{'Saturday': {'close': '21:00', 'open': '10:00'}, 'Monday': {'close': '20:30', 'open': '10:00'}, 'Sunday': {'close': '21:00', 'open': '10:00'}, 'Friday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '20:30', 'open': '10:00'}, 'Wednesday': {'close': '20:30', 'open': '10:00'}, 'Tuesday': {'close': '20:30', 'open': '10:00'}}",33.4575804,-112.0472907,Mariscos Playa Hermosa,[],True,212,4.5,AZ,business
"{'Wheelchair Accessible': True, 'Alcohol': 'full_bar', 'Has TV': False, 'Music': {'karaoke': False, 'dj': False, 'video': False, 'background_music': False, 'live': False, 'jukebox': False}, 'Outdoor Seating': True, 'Smoking': 'no', 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}, 'Price Range': 2, 'Noise Level': 'quiet', 'Happy Hour': True, 'Accepts Credit Cards': True, 'Good For Dancing': False, 'Ambience': {'romantic': False, 'intimate': False, 'upscale': False, 'trendy': False, 'hipster': False, 'casual': True, 'touristy': False, 'classy': False, 'divey': False}, 'Good For Groups': True, 'Coat Check': False, 'Good for Kids': True}",qMkIbQFrROSnPaQ7at85-w,"['Arts & Entertainment', 'Music Venues', 'Parks', 'Nightlife', 'Active Life', 'Botanical Gardens']",Phoenix,"1201 N Galvin Pkwy
Phoenix, AZ 85008","{'Saturday': {'close': '20:00', 'open': '08:00'}, 'Monday': {'close': '20:00', 'open': '08:00'}, 'Sunday': {'close': '20:00', 'open': '08:00'}, 'Friday': {'close': '20:00', 'open': '08:00'}, 'Thursday': {'close': '20:00', 'open': '08:00'}, 'Wednesday': {'close': '20:00', 'open': '08:00'}, 'Tuesday': {'close': '20:00', 'open': '08:00'}}",33.4620773,-111.9450978,Desert Botanical Garden,[],True,435,4.5,AZ,business
{'Good for Kids': True},1Ap6ZNCvyLLKHP0wvCk9yA,"['Active Life', 'Zoos']",Phoenix,"455 N Galvin Pkwy
Phoenix, AZ 85008","{'Saturday': {'close': '17:00', 'open': '09:00'}, 'Monday': {'close': '17:00', 'open': '09:00'}, 'Sunday': {'close': '17:00', 'open': '09:00'}, 'Friday': {'close': '17:00', 'open': '09:00'}, 'Thursday': {'close': '17:00', 'open': '09:00'}, 'Wednesday': {'close': '17:00', 'open': '09:00'}, 'Tuesday': {'close': '17:00', 'open': '09:00'}}",33.4512357,-111.949955,Phoenix Zoo,[],True,286,4.0,AZ,business
"{'Wheelchair Accessible': True, 'Alcohol': 'beer_and_wine', 'Good for Kids': True, 'Outdoor Seating': True, 'Attire': 'casual', 'Wi-Fi': 'free', 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': True}, 'Good For Kids': False, 'Dogs Allowed': True, 'Accepts Credit Cards': True, 'Take-out': True, 'Caters': True, 'Takes Reservations': True, 'Has TV': False, 'Good For Groups': True, 'BYOB/Corkage': 'no', 'Price Range': 2, 'Noise Level': 'average', 'Ambience': {'romantic': False, 'intimate': False, 'upscale': False, 'trendy': False, 'hipster': True, 'casual': False, 'touristy': False, 'classy': False, 'divey': False}, 'Delivery': False, 'Good For': {'lunch': True, 'dinner': False, 'latenight': False, 'brunch': False, 'breakfast': False, 'dessert': False}, 'Waiter Service': True}",-AAig9FG0s8gYE4f8GfowQ,"['Pizza', 'Italian', 'Sandwiches', 'Restaurants']",Phoenix,"4404 N Central Ave
Phoenix, AZ 85012","{'Saturday': {'close': '16:00', 'open': '11:00'}, 'Monday': {'close': '20:00', 'open': '16:00'}, 'Sunday': {'close': '15:00', 'open': '11:00'}, 'Friday': {'close': '16:00', 'open': '11:00'}, 'Thursday': {'close': '20:00', 'open': '16:00'}, 'Wednesday': {'close': '20:00', 'open': '16:00'}, 'Tuesday': {'close': '16:00', 'open': '11:00'}}",33.5006213,-112.0743113,Pane Bianco,[],True,400,4.0,AZ,business
