business_id,latitude,longitude,stars,review_count,success_cat
x5Mv61CnZLohZWxfCVCPTQ,33.4795416,-112.0734183,3.0,11,4
2ZnCITVa0abGce4gZ6RhIw,33.468988,-112.074315,3.5,5,2
EmzaQR5hQlF0WIl24NxAZA,33.4483992,-112.0717019,2.5,23,6
KPoTixdjoJxSqRSEApSAGg,33.477933965703,-112.07352364174,4.0,322,10
e5kc0CQ4R-PCCDgb274gSg,33.4526031,-112.0691194,3.5,191,10
gBcpDl0quCLABsg5OuSFww,33.4495394,-112.0656645,3.0,11,4
72N6TdH5MdUWE2YhYRbyxw,33.47626,-112.074248,2.5,7,3
eOgUKCy5-sK-leqIBiNokg,33.4484911,-112.0744277,3.0,3,1
neGAQFkBNI8-rpPBLBzNkw,33.46544,-112.06909,3.5,8,3
45puCRQ6Vh_IIAy7kkfFDQ,33.4484654,-112.0712574,3.5,170,10
nc3IiY5LNdmEwUZCW84yuA,33.4527955,-112.0693177,2.5,18,5
P7wKlbSRsoRrfH3DFOY08A,33.4756064,-112.0740016,3.0,43,7
BESmH-lmMm34_EefL8X9fQ,33.429424,-112.073929,4.0,204,10
D09yG6Z3gcsh24Qn7Y4gYA,33.4657117,-112.0657286,3.0,73,8
kaIue7GRCmkPzDeHDBTttQ,33.4640982988196,-112.073568999767,4.0,152,10
j8nyAaN_w5t6wYv-ni23sg,33.443864,-112.070061,3.0,77,9
5XIvwfbIa-vuFEkkeCQ6kQ,33.4450348,-112.0703479,2.0,10,4
VsO_rhXi5lgbaGxNwoEZsQ,33.4577071,-112.0686108,3.0,90,9
Y293fHh5SZ0_9BZm4M6BCg,33.4492272,-112.0722653,3.0,57,8
IceZ4BtTz76eppjNWm-c6A,33.4549264,-112.086757,3.5,59,8
QsvRjgQacMMFf8dit7qqDw,33.4392182,-112.0736473,3.5,8,3
LXhL5X3edNRy7epku6UAEw,33.44742,-112.0706,4.0,7,3
-lOSaCuBRAvX5JBifx-EMw,33.4527955,-112.0693177,3.0,105,9
XI-_Y2XRw03mozGx0Z90Gw,33.4492227,-112.0740069,3.5,22,6
qsWxbgQwuomXvMseg23DGg,33.4526031,-112.0691194,2.5,83,9
DlCtdbceo4YNSI53cCL2lg,33.46425,-112.074153,3.0,221,10
kR5i58Pcse1FD9tk-yYLlA,33.450875,-112.066333,3.5,22,6
2I666dqzs1XB6xigIKa9bA,33.4484248169655,-112.07480205159,3.0,63,8
yExYqENb4F6qH6kJxTOaSQ,33.4456825256348,-112.069320678711,3.5,19,5
9BH18avE46LlHMvJn67MaA,33.4499524,-112.0740511,4.0,57,8
trAvQPp7gps0Btk-2AmLpw,33.465499,-112.081565,3.5,115,9
