attributes,business_id,categories,city,full_address,hours,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type,zip_code
"{'Music': {'jukebox': False, 'video': False, 'dj': False, 'karaoke': False, 'live': False, 'background_music': False}, 'Coat Check': False, 'Good For Dancing': False, 'Happy Hour': True, 'Alcohol': 'full_bar', 'Wheelchair Accessible': True, 'Good For Groups': True, 'Outdoor Seating': True, 'Accepts Credit Cards': True, 'Has TV': False, 'Noise Level': 'quiet', 'Smoking': 'no', 'Good for Kids': True, 'Ambience': {'upscale': False, 'hipster': False, 'classy': False, 'casual': True, 'touristy': False, 'divey': False, 'romantic': False, 'intimate': False, 'trendy': False}, 'Parking': {'street': False, 'lot': True, 'valet': False, 'validated': False, 'garage': False}, 'Price Range': 2}",qMkIbQFrROSnPaQ7at85-w,"['Arts & Entertainment', 'Music Venues', 'Parks', 'Nightlife', 'Active Life', 'Botanical Gardens']",Phoenix,"1201 N Galvin Pkwy
Phoenix, AZ 85008","{'Sunday': {'close': '20:00', 'open': '08:00'}, 'Saturday': {'close': '20:00', 'open': '08:00'}, 'Tuesday': {'close': '20:00', 'open': '08:00'}, 'Monday': {'close': '20:00', 'open': '08:00'}, 'Friday': {'close': '20:00', 'open': '08:00'}, 'Thursday': {'close': '20:00', 'open': '08:00'}, 'Wednesday': {'close': '20:00', 'open': '08:00'}}",33.4620773,-111.9450978,Desert Botanical Garden,[],True,435,4.5,AZ,business,85008
{'Good for Kids': True},1Ap6ZNCvyLLKHP0wvCk9yA,"['Active Life', 'Zoos']",Phoenix,"455 N Galvin Pkwy
Phoenix, AZ 85008","{'Sunday': {'close': '17:00', 'open': '09:00'}, 'Saturday': {'close': '17:00', 'open': '09:00'}, 'Tuesday': {'close': '17:00', 'open': '09:00'}, 'Monday': {'close': '17:00', 'open': '09:00'}, 'Friday': {'close': '17:00', 'open': '09:00'}, 'Thursday': {'close': '17:00', 'open': '09:00'}, 'Wednesday': {'close': '17:00', 'open': '09:00'}}",33.4512357,-111.949955,Phoenix Zoo,[],True,286,4.0,AZ,business,85008
"{'Music': {'jukebox': False, 'video': False, 'dj': False, 'karaoke': False, 'live': False, 'background_music': True}, 'Coat Check': False, 'Good For Dancing': False, 'Happy Hour': True, 'Alcohol': 'beer_and_wine', 'Wheelchair Accessible': True, 'Good For Groups': True, 'Outdoor Seating': True, 'Accepts Credit Cards': True, 'Has TV': True, 'Noise Level': 'average', 'Smoking': 'outdoor', 'Ambience': {'upscale': False, 'hipster': False, 'classy': False, 'casual': True, 'touristy': False, 'divey': False, 'romantic': False, 'intimate': False, 'trendy': False}, 'Parking': {'street': False, 'lot': True, 'valet': False, 'validated': False, 'garage': False}, 'Price Range': 2}",3UMcsN9IjoeV8JZvC4apag,"['Pubs', 'Food', 'Bars', 'Breweries', 'Nightlife']",Phoenix,"322 E Camelback Rd
Phoenix, AZ 85012","{'Sunday': {'close': '23:00', 'open': '11:00'}, 'Saturday': {'close': '00:00', 'open': '11:00'}, 'Tuesday': {'close': '23:00', 'open': '11:00'}, 'Monday': {'close': '23:00', 'open': '11:00'}, 'Friday': {'close': '00:00', 'open': '11:00'}, 'Thursday': {'close': '23:00', 'open': '11:00'}, 'Wednesday': {'close': '23:00', 'open': '11:00'}}",33.5094087,-112.0687564,SunUp Brewing Co,[],True,225,3.5,AZ,business,85012
"{'Wi-Fi': 'free', 'Alcohol': 'full_bar', 'Wheelchair Accessible': True, 'Good For Groups': True, 'Noise Level': 'average', 'Outdoor Seating': True, 'Dogs Allowed': True, 'Take-out': True, 'BYOB': False, 'Takes Reservations': False, 'Attire': 'casual', 'BYOB/Corkage': 'no', 'Accepts Credit Cards': True, 'Has TV': False, 'Delivery': False, 'Caters': True, 'Good for Kids': True, 'Good For Kids': True, 'Good For': {'dinner': False, 'breakfast': False, 'latenight': False, 'dessert': False, 'lunch': True, 'brunch': False}, 'Waiter Service': False, 'Parking': {'street': False, 'lot': True, 'valet': True, 'validated': False, 'garage': False}, 'Price Range': 2, 'Ambience': {'upscale': False, 'hipster': False, 'classy': False, 'casual': False, 'touristy': False, 'divey': False, 'romantic': False, 'intimate': False, 'trendy': True}}",R8VwdLyvsp9iybNqRvm94g,"['Food', 'Grocery']",Phoenix,"4410 N 40th St
Phoenix, AZ 85018","{'Sunday': {'close': '22:00', 'open': '06:30'}, 'Saturday': {'close': '22:00', 'open': '06:30'}, 'Tuesday': {'close': '22:00', 'open': '06:30'}, 'Monday': {'close': '22:00', 'open': '06:30'}, 'Friday': {'close': '22:00', 'open': '06:30'}, 'Thursday': {'close': '22:00', 'open': '06:30'}, 'Wednesday': {'close': '22:00', 'open': '06:30'}}",33.502312625663,-111.99575216742,La Grande Orange Grocery,[],True,597,4.0,AZ,business,85018
{'Wi-Fi': 'free'},hW0Ne_HTHEAgGF1rAdmR-g,"['Hotels & Travel', 'Airports']",Phoenix,"3400 E Sky Harbor Blvd
Phoenix, AZ 85034","{'Sunday': {'close': '00:00', 'open': '00:00'}, 'Saturday': {'close': '00:00', 'open': '00:00'}, 'Tuesday': {'close': '00:00', 'open': '00:00'}, 'Monday': {'close': '00:00', 'open': '00:00'}, 'Friday': {'close': '00:00', 'open': '00:00'}, 'Thursday': {'close': '00:00', 'open': '00:00'}, 'Wednesday': {'close': '00:00', 'open': '00:00'}}",33.4347496032715,-112.006439208984,Phoenix Sky Harbor International Airport,[],True,1512,3.5,AZ,business,85034
"{'Accepts Credit Cards': True, 'Price Range': 3, 'Wi-Fi': 'paid'}",SYqTY48DJa1cYhglvmgvsQ,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",Scottsdale,"6902 East Greenway Parkway
Scottsdale, AZ 85254",{},33.6247596,-111.9329381,The Westin Kierland Resort & Spa,[],True,201,4.0,AZ,business,85254
"{'Take-out': False, 'Wi-Fi': 'free', 'Takes Reservations': True, 'Wheelchair Accessible': False, 'Good For Groups': True, 'Attire': 'casual', 'Outdoor Seating': True, 'Accepts Credit Cards': True, 'Has TV': True, 'Noise Level': 'very_loud', 'Delivery': True, 'Caters': False, 'Price Range': 3, 'Good for Kids': True, 'Alcohol': 'full_bar', 'Good For': {'dinner': True, 'breakfast': True, 'latenight': False, 'dessert': False, 'lunch': True, 'brunch': False}, 'Waiter Service': True, 'Parking': {'street': False, 'lot': True, 'valet': False, 'validated': False, 'garage': False}, 'Good For Kids': True, 'Ambience': {'upscale': False, 'hipster': False, 'classy': False, 'casual': False, 'touristy': False, 'divey': False, 'romantic': False, 'intimate': False, 'trendy': False}}",xtX2qS64zP2NRPV_7NNqHw,"['Hotels & Travel', 'Event Planning & Services', 'Venues & Event Spaces', 'Hotels']",Scottsdale,"7500 E Doubletree Ranch Rd
Scottsdale, AZ 85258","{'Sunday': {'close': '00:00', 'open': '00:00'}, 'Saturday': {'close': '00:00', 'open': '00:00'}, 'Tuesday': {'close': '00:00', 'open': '00:00'}, 'Monday': {'close': '00:00', 'open': '00:00'}, 'Friday': {'close': '00:00', 'open': '00:00'}, 'Thursday': {'close': '00:00', 'open': '00:00'}, 'Wednesday': {'close': '00:00', 'open': '00:00'}}",33.5666361,-111.9186835,Hyatt Regency Scottsdale Resort & Spa at Gainey Ranch,[],True,245,4.5,AZ,business,85258
{'Wi-Fi': 'no'},bA-Cj6N9TEMlDlOh2aAnUw,"['Hotels & Travel', 'Airlines', 'Transportation']",Phoenix,"4000 E Sky Harbor Blvd
Phoenix, AZ 85034",{},33.4360262,-111.9954374,US Airways,[],True,393,2.0,AZ,business,85034
"{'By Appointment Only': False, 'Price Range': 2, 'Parking': {'street': False, 'lot': True, 'valet': False, 'validated': False, 'garage': False}, 'Good for Kids': True, 'Accepts Credit Cards': True}",u0NbikWwP7TVkMkCily-4g,"['Museums', 'Arts & Entertainment', 'Art Galleries', 'Shopping']",Phoenix,"1625 N Central Ave
Phoenix, AZ 85004","{'Sunday': {'close': '17:00', 'open': '12:00'}, 'Saturday': {'close': '17:00', 'open': '10:00'}, 'Tuesday': {'close': '17:00', 'open': '10:00'}, 'Friday': {'close': '17:00', 'open': '10:00'}, 'Thursday': {'close': '17:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}}",33.4673017,-112.0734116,Phoenix Art Museum,[],True,241,4.5,AZ,business,85004
"{'Accepts Credit Cards': True, 'Price Range': 3, 'Wi-Fi': 'paid'}",O_ZNZDr6c5CsK6GgsKdDeQ,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",Scottsdale,"6000 East Camelback Road
Scottsdale, AZ 85251",{},33.5047034,-111.9501368,The Phoenician,[],True,255,4.0,AZ,business,85251
