attributes,business_id,categories,city,full_address,hours,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type,zip_code,R_cat
"{'Good For Groups': True, 'Noise Level': 'quiet', 'Music': {'background_music': False, 'live': False, 'video': False, 'jukebox': False, 'karaoke': False, 'dj': False}, 'Accepts Credit Cards': True, 'Price Range': 2, 'Coat Check': False, 'Outdoor Seating': True, 'Alcohol': 'full_bar', 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'Smoking': 'no', 'Has TV': False, 'Wheelchair Accessible': True, 'Ambience': {'casual': True, 'touristy': False, 'hipster': False, 'intimate': False, 'romantic': False, 'divey': False, 'trendy': False, 'classy': False, 'upscale': False}, 'Good For Dancing': False, 'Good for Kids': True, 'Happy Hour': True}",qMkIbQFrROSnPaQ7at85-w,"['Arts & Entertainment', 'Music Venues', 'Parks', 'Nightlife', 'Active Life', 'Botanical Gardens']",Phoenix,"1201 N Galvin Pkwy
Phoenix, AZ 85008","{'Wednesday': {'open': '08:00', 'close': '20:00'}, 'Monday': {'open': '08:00', 'close': '20:00'}, 'Friday': {'open': '08:00', 'close': '20:00'}, 'Thursday': {'open': '08:00', 'close': '20:00'}, 'Tuesday': {'open': '08:00', 'close': '20:00'}, 'Saturday': {'open': '08:00', 'close': '20:00'}, 'Sunday': {'open': '08:00', 'close': '20:00'}}",33.4620773,-111.9450978,Desert Botanical Garden,[],True,435,4.5,AZ,business,85008,3
{'Good for Kids': True},1Ap6ZNCvyLLKHP0wvCk9yA,"['Active Life', 'Zoos']",Phoenix,"455 N Galvin Pkwy
Phoenix, AZ 85008","{'Wednesday': {'open': '09:00', 'close': '17:00'}, 'Monday': {'open': '09:00', 'close': '17:00'}, 'Friday': {'open': '09:00', 'close': '17:00'}, 'Thursday': {'open': '09:00', 'close': '17:00'}, 'Tuesday': {'open': '09:00', 'close': '17:00'}, 'Saturday': {'open': '09:00', 'close': '17:00'}, 'Sunday': {'open': '09:00', 'close': '17:00'}}",33.4512357,-111.949955,Phoenix Zoo,[],True,286,4.0,AZ,business,85008,3
"{'Good For Groups': True, 'Noise Level': 'average', 'Music': {'background_music': True, 'live': False, 'video': False, 'jukebox': False, 'karaoke': False, 'dj': False}, 'Accepts Credit Cards': True, 'Price Range': 2, 'Coat Check': False, 'Outdoor Seating': True, 'Alcohol': 'beer_and_wine', 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'Smoking': 'outdoor', 'Has TV': True, 'Wheelchair Accessible': True, 'Ambience': {'casual': True, 'touristy': False, 'hipster': False, 'intimate': False, 'romantic': False, 'divey': False, 'trendy': False, 'classy': False, 'upscale': False}, 'Good For Dancing': False, 'Happy Hour': True}",3UMcsN9IjoeV8JZvC4apag,"['Pubs', 'Food', 'Bars', 'Breweries', 'Nightlife']",Phoenix,"322 E Camelback Rd
Phoenix, AZ 85012","{'Wednesday': {'open': '11:00', 'close': '23:00'}, 'Monday': {'open': '11:00', 'close': '23:00'}, 'Friday': {'open': '11:00', 'close': '00:00'}, 'Thursday': {'open': '11:00', 'close': '23:00'}, 'Tuesday': {'open': '11:00', 'close': '23:00'}, 'Saturday': {'open': '11:00', 'close': '00:00'}, 'Sunday': {'open': '11:00', 'close': '23:00'}}",33.5094087,-112.0687564,SunUp Brewing Co,[],True,225,3.5,AZ,business,85012,3
"{'Attire': 'casual', 'Noise Level': 'average', 'BYOB': False, 'Waiter Service': False, 'Good For Groups': True, 'Alcohol': 'full_bar', 'Outdoor Seating': True, 'Takes Reservations': False, 'Ambience': {'casual': False, 'touristy': False, 'hipster': False, 'intimate': False, 'romantic': False, 'divey': False, 'trendy': True, 'classy': False, 'upscale': False}, 'Good For Kids': True, 'Caters': True, 'Good for Kids': True, 'Wheelchair Accessible': True, 'Take-out': True, 'Price Range': 2, 'Wi-Fi': 'free', 'BYOB/Corkage': 'no', 'Dogs Allowed': True, 'Accepts Credit Cards': True, 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': True, 'lot': True}, 'Has TV': False, 'Good For': {'lunch': True, 'breakfast': False, 'latenight': False, 'dessert': False, 'dinner': False, 'brunch': False}, 'Delivery': False}",R8VwdLyvsp9iybNqRvm94g,"['Food', 'Grocery']",Phoenix,"4410 N 40th St
Phoenix, AZ 85018","{'Wednesday': {'open': '06:30', 'close': '22:00'}, 'Monday': {'open': '06:30', 'close': '22:00'}, 'Friday': {'open': '06:30', 'close': '22:00'}, 'Thursday': {'open': '06:30', 'close': '22:00'}, 'Tuesday': {'open': '06:30', 'close': '22:00'}, 'Saturday': {'open': '06:30', 'close': '22:00'}, 'Sunday': {'open': '06:30', 'close': '22:00'}}",33.502312625663,-111.99575216742,La Grande Orange Grocery,[],True,597,4.0,AZ,business,85018,3
{'Wi-Fi': 'free'},hW0Ne_HTHEAgGF1rAdmR-g,"['Hotels & Travel', 'Airports']",Phoenix,"3400 E Sky Harbor Blvd
Phoenix, AZ 85034","{'Wednesday': {'open': '00:00', 'close': '00:00'}, 'Monday': {'open': '00:00', 'close': '00:00'}, 'Friday': {'open': '00:00', 'close': '00:00'}, 'Thursday': {'open': '00:00', 'close': '00:00'}, 'Tuesday': {'open': '00:00', 'close': '00:00'}, 'Saturday': {'open': '00:00', 'close': '00:00'}, 'Sunday': {'open': '00:00', 'close': '00:00'}}",33.4347496032715,-112.006439208984,Phoenix Sky Harbor International Airport,[],True,1512,3.5,AZ,business,85034,3
"{'Accepts Credit Cards': True, 'Price Range': 3, 'Wi-Fi': 'paid'}",SYqTY48DJa1cYhglvmgvsQ,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",Scottsdale,"6902 East Greenway Parkway
Scottsdale, AZ 85254",{},33.6247596,-111.9329381,The Westin Kierland Resort & Spa,[],True,201,4.0,AZ,business,85254,3
"{'Wheelchair Accessible': False, 'Attire': 'casual', 'Take-out': False, 'Noise Level': 'very_loud', 'Accepts Credit Cards': True, 'Price Range': 3, 'Waiter Service': True, 'Wi-Fi': 'free', 'Good For Groups': True, 'Outdoor Seating': True, 'Alcohol': 'full_bar', 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'Has TV': True, 'Takes Reservations': True, 'Good For': {'lunch': True, 'breakfast': True, 'latenight': False, 'dessert': False, 'dinner': True, 'brunch': False}, 'Ambience': {'casual': False, 'touristy': False, 'hipster': False, 'intimate': False, 'romantic': False, 'divey': False, 'trendy': False, 'classy': False, 'upscale': False}, 'Good For Kids': True, 'Delivery': True, 'Caters': False, 'Good for Kids': True}",xtX2qS64zP2NRPV_7NNqHw,"['Hotels & Travel', 'Event Planning & Services', 'Venues & Event Spaces', 'Hotels']",Scottsdale,"7500 E Doubletree Ranch Rd
Scottsdale, AZ 85258","{'Wednesday': {'open': '00:00', 'close': '00:00'}, 'Monday': {'open': '00:00', 'close': '00:00'}, 'Friday': {'open': '00:00', 'close': '00:00'}, 'Thursday': {'open': '00:00', 'close': '00:00'}, 'Tuesday': {'open': '00:00', 'close': '00:00'}, 'Saturday': {'open': '00:00', 'close': '00:00'}, 'Sunday': {'open': '00:00', 'close': '00:00'}}",33.5666361,-111.9186835,Hyatt Regency Scottsdale Resort & Spa at Gainey Ranch,[],True,245,4.5,AZ,business,85258,3
{'Wi-Fi': 'no'},bA-Cj6N9TEMlDlOh2aAnUw,"['Hotels & Travel', 'Airlines', 'Transportation']",Phoenix,"4000 E Sky Harbor Blvd
Phoenix, AZ 85034",{},33.4360262,-111.9954374,US Airways,[],True,393,2.0,AZ,business,85034,3
"{'By Appointment Only': False, 'Accepts Credit Cards': True, 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'Good for Kids': True, 'Price Range': 2}",u0NbikWwP7TVkMkCily-4g,"['Museums', 'Arts & Entertainment', 'Art Galleries', 'Shopping']",Phoenix,"1625 N Central Ave
Phoenix, AZ 85004","{'Wednesday': {'open': '10:00', 'close': '21:00'}, 'Saturday': {'open': '10:00', 'close': '17:00'}, 'Friday': {'open': '10:00', 'close': '17:00'}, 'Thursday': {'open': '10:00', 'close': '17:00'}, 'Tuesday': {'open': '10:00', 'close': '17:00'}, 'Sunday': {'open': '12:00', 'close': '17:00'}}",33.4673017,-112.0734116,Phoenix Art Museum,[],True,241,4.5,AZ,business,85004,3
"{'Accepts Credit Cards': True, 'Price Range': 3, 'Wi-Fi': 'paid'}",O_ZNZDr6c5CsK6GgsKdDeQ,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",Scottsdale,"6000 East Camelback Road
Scottsdale, AZ 85251",{},33.5047034,-111.9501368,The Phoenician,[],True,255,4.0,AZ,business,85251,3
