attributes,business_id,categories,city,full_address,hours,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type,zip_code,R_cat
{'Good for Kids': True},SG_gEmEXL4ID6RAEinC5Bg,"['Museums', 'Arts & Entertainment']",Phoenix,"2301 N Central Ave
Phoenix, AZ 85004","{'Wednesday': {'open': '09:30', 'close': '17:00'}, 'Monday': {'open': '09:30', 'close': '17:00'}, 'Friday': {'open': '09:30', 'close': '17:00'}, 'Thursday': {'open': '09:30', 'close': '17:00'}, 'Tuesday': {'open': '09:30', 'close': '17:00'}, 'Saturday': {'open': '09:30', 'close': '17:00'}, 'Sunday': {'open': '11:00', 'close': '17:00'}}",33.473182,-112.072935,The Heard Museum,[],True,111,4.0,AZ,business,85004,2
{},Li5LOL873Ep8HoPRML18sw,"['Car Wash', 'Automotive']",Phoenix,"232 E McDowell Rd
Phoenix, AZ 85004","{'Wednesday': {'open': '08:00', 'close': '17:30'}, 'Monday': {'open': '08:00', 'close': '17:30'}, 'Friday': {'open': '08:00', 'close': '17:30'}, 'Thursday': {'open': '08:00', 'close': '17:30'}, 'Tuesday': {'open': '08:00', 'close': '17:30'}, 'Saturday': {'open': '08:00', 'close': '17:30'}, 'Sunday': {'open': '09:00', 'close': '15:00'}}",33.465729,-112.0712152,Los Olivos Hand Car Wash,[],True,109,4.0,AZ,business,85004,2
{'Good for Kids': True},uFJwKlHL6HyHSJmORO8-5w,"['Arts & Entertainment', 'Stadiums & Arenas']",Phoenix,"201 East Jefferson Street
Phoenix, AZ 85004",{},33.4459,-112.071211,US Airways Center,[],True,136,4.0,AZ,business,85004,2
"{'By Appointment Only': False, 'Accepts Credit Cards': True, 'Parking': {'garage': True, 'street': False, 'validated': False, 'valet': False, 'lot': False}, 'Good for Kids': True, 'Price Range': 2}",MwmXm48K2g2oTRe7XmssFw,"['Museums', 'Arts & Entertainment', 'Art Galleries', 'Shopping']",Phoenix,"600 E Washington St
Phoenix, AZ 85004","{'Wednesday': {'open': '10:00', 'close': '17:00'}, 'Monday': {'open': '10:00', 'close': '17:00'}, 'Friday': {'open': '10:00', 'close': '17:00'}, 'Thursday': {'open': '10:00', 'close': '17:00'}, 'Tuesday': {'open': '10:00', 'close': '17:00'}, 'Saturday': {'open': '10:00', 'close': '17:00'}, 'Sunday': {'open': '10:00', 'close': '17:00'}}",33.4484279,-112.0672856,Arizona Science Center,[],True,185,4.0,AZ,business,85004,2
"{'Good For Groups': True, 'Noise Level': 'loud', 'Music': {'video': False, 'jukebox': False, 'live': True, 'dj': False}, 'Accepts Credit Cards': True, 'Price Range': 1, 'Coat Check': False, 'Outdoor Seating': True, 'Alcohol': 'full_bar', 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'Smoking': 'outdoor', 'Has TV': False, 'Wheelchair Accessible': True, 'Ambience': {'casual': False, 'touristy': False, 'hipster': False, 'intimate': False, 'romantic': False, 'divey': True, 'trendy': False, 'classy': False, 'upscale': False}, 'Good For Dancing': True, 'Good for Kids': False, 'Happy Hour': False}",JZJqJadk9pSoCGT7VTwBvg,"['Jazz & Blues', 'Arts & Entertainment', 'Nightlife', 'Music Venues']",Phoenix,"1019 E Indian School Rd
Phoenix, AZ 85014","{'Wednesday': {'open': '19:00', 'close': '02:00'}, 'Monday': {'open': '19:00', 'close': '02:00'}, 'Friday': {'open': '19:00', 'close': '02:00'}, 'Thursday': {'open': '19:00', 'close': '02:00'}, 'Tuesday': {'open': '19:00', 'close': '02:00'}, 'Saturday': {'open': '19:00', 'close': '02:00'}, 'Sunday': {'open': '19:00', 'close': '02:00'}}",33.4947113,-112.0603348,Rhythm Room,[],True,103,4.0,AZ,business,85014,2
{},pjtB4FadDdq_DeyedjDsOw,"['Car Wash', 'Automotive']",Phoenix,"1954 E Highland Ave
Phoenix, AZ 85016","{'Wednesday': {'open': '07:30', 'close': '18:00'}, 'Monday': {'open': '07:30', 'close': '18:00'}, 'Friday': {'open': '07:30', 'close': '18:00'}, 'Thursday': {'open': '07:30', 'close': '18:00'}, 'Tuesday': {'open': '07:30', 'close': '18:00'}, 'Saturday': {'open': '07:30', 'close': '18:00'}, 'Sunday': {'open': '07:30', 'close': '18:00'}}",33.5057218,-112.0398095,Danny's Family Carousel Car Wash,[],True,147,1.5,AZ,business,85016,2
"{'Attire': 'dressy', 'Noise Level': 'average', 'Accepts Credit Cards': True, 'Waiter Service': True, 'Good For Groups': True, 'Alcohol': 'full_bar', 'Outdoor Seating': False, 'Takes Reservations': True, 'Has TV': False, 'Ambience': {'casual': False, 'touristy': False, 'hipster': False, 'intimate': False, 'romantic': False, 'divey': False, 'trendy': True, 'classy': False, 'upscale': False}, 'Caters': False, 'Good for Kids': False, 'Wheelchair Accessible': True, 'Take-out': False, 'Good For Dancing': False, 'Music': {'video': False, 'jukebox': False, 'live': False, 'dj': True}, 'Price Range': 2, 'Wi-Fi': 'free', 'Dogs Allowed': False, 'Parking': {'garage': True, 'street': False, 'validated': True, 'valet': True, 'lot': False}, 'Smoking': 'no', 'Happy Hour': True, 'Open 24 Hours': False, 'Good For': {'lunch': False, 'breakfast': False, 'latenight': True, 'dessert': False, 'dinner': False, 'brunch': False}, 'Delivery': False, 'Coat Check': True}",peA3F-PnIfijYr8HuG-A-Q,"['Bars', 'Nightlife', 'Lounges']",Phoenix,"2525 E Camelback Rd
Phoenix, AZ 85016","{'Wednesday': {'open': '16:00', 'close': '02:00'}, 'Monday': {'open': '16:00', 'close': '02:00'}, 'Friday': {'open': '16:00', 'close': '02:00'}, 'Thursday': {'open': '16:00', 'close': '02:00'}, 'Tuesday': {'open': '16:00', 'close': '02:00'}, 'Saturday': {'open': '19:00', 'close': '02:00'}, 'Sunday': {'open': '19:00', 'close': '02:00'}}",33.508704,-112.028081,MercBar,[],True,135,4.0,AZ,business,85016,2
"{'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'Wheelchair Accessible': True}",Sy-hmzSH1OmWpHmAfZtxRA,"['Food', 'Beer, Wine & Spirits', 'Grocery']",Phoenix,"4821 N 20th St
Phoenix, AZ 85016","{'Wednesday': {'open': '08:00', 'close': '21:00'}, 'Monday': {'open': '08:00', 'close': '21:00'}, 'Friday': {'open': '08:00', 'close': '21:00'}, 'Thursday': {'open': '08:00', 'close': '21:00'}, 'Tuesday': {'open': '08:00', 'close': '21:00'}, 'Saturday': {'open': '08:00', 'close': '21:00'}, 'Sunday': {'open': '08:00', 'close': '21:00'}}",33.5071613,-112.0388437,Trader Joe's,[],True,109,4.5,AZ,business,85016,2
"{'Accepts Credit Cards': True, 'Price Range': 3, 'Parking': {'garage': True, 'street': False, 'validated': False, 'valet': False, 'lot': False}, 'Wheelchair Accessible': True}",l5vzFaqSjvxZiRn0MJeKkg,"['Local Services', 'Computers', 'Shopping', 'IT Services & Computer Repair', 'Mobile Phones']",Phoenix,"2430 E Camelback Rd
Ste 121
Phoenix, AZ 85016","{'Wednesday': {'open': '10:00', 'close': '21:00'}, 'Monday': {'open': '10:00', 'close': '21:00'}, 'Friday': {'open': '10:00', 'close': '21:00'}, 'Thursday': {'open': '10:00', 'close': '21:00'}, 'Tuesday': {'open': '10:00', 'close': '21:00'}, 'Saturday': {'open': '10:00', 'close': '21:00'}, 'Sunday': {'open': '11:00', 'close': '18:00'}}",33.5094438,-112.0295038,Apple Store,[],True,134,3.5,AZ,business,85016,2
"{'Accepts Credit Cards': True, 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': True, 'lot': False}, 'Wheelchair Accessible': True, 'By Appointment Only': True, 'Price Range': 3, 'Wi-Fi': 'free'}",rLAeltELaGdQKh_LYIllEA,"['Day Spas', 'Hotels & Travel', 'Beauty & Spas', 'Event Planning & Services', 'Hotels']",Phoenix,"5200 E Camelback Rd
Phoenix, AZ 85018",{},33.504455,-111.969246,Royal Palms Resort and Spa,[],True,143,4.5,AZ,business,85018,2
