street,lot,dep_stores,rest,shopping,hotel,art,score
FALSE,TRUE,0,7215.5,0,0,0,33
FALSE,FALSE,0,190.5,1084.5,0,192,17.5
TRUE,FALSE,0,14059.5,598,1414,1379,57.5
FALSE,TRUE,0,6144.5,157.5,52.5,0,1288
FALSE,FALSE,144,3329.5,87,476,623,668.5
FALSE,FALSE,0,8084,740,0,162.5,33
FALSE,FALSE,0,5534.5,182.5,52.5,0,17.5
FALSE,FALSE,0,13106.5,474.5,1618,196.5,9
FALSE,FALSE,0,807,340.5,0,162,28
TRUE,FALSE,0,12682,551,1414,1320.5,595
FALSE,FALSE,144,3953,87,476,648,45
FALSE,TRUE,0,5403,182.5,52.5,444,129
FALSE,TRUE,0,0,0,0,0,816
FALSE,TRUE,0,134,142.5,0,0,219
FALSE,TRUE,0,2474,230,0,162,608
TRUE,FALSE,0,2097.5,185,0,770,231
FALSE,FALSE,0,3285.5,180.5,0,770,20
TRUE,FALSE,0,8653,2343,0,1054.5,270
TRUE,FALSE,0,14020.5,598,1894,550.5,171
TRUE,FALSE,0,149,126,0,20,206.5
FALSE,FALSE,0,0,0,0,0,28
FALSE,FALSE,0,12272,384.5,1106,1092.5,28
FALSE,FALSE,144,3683,87,476,648,315
TRUE,FALSE,0,13490,494.5,1894,381,77
FALSE,FALSE,144,3790.5,87,476,623,207.5
FALSE,TRUE,0,2419,230,0,162,663
TRUE,FALSE,144,8710,740,0,186.5,77
TRUE,FALSE,0,12244.5,474.5,1618,196.5,189
FALSE,FALSE,0,3547,103.5,0,2274,66.5
TRUE,FALSE,0,13339,494.5,1894,138,228
FALSE,TRUE,0,3232,681,0,0,402.5
FALSE,FALSE,144,3990,87,476,648,8
TRUE,TRUE,0,7615.5,77,522,828.5,24.5
TRUE,FALSE,0,12574,559.5,522,1151,279
TRUE,FALSE,0,13028,474.5,1618,196.5,87.5
FALSE,TRUE,0,304,142.5,0,0,21
FALSE,FALSE,0,7238,0,0,0,48
FALSE,FALSE,0,7404.5,157.5,52.5,0,28
FALSE,FALSE,0,7424.5,157.5,52.5,0,8
TRUE,FALSE,0,13976.5,598,1618,1151,172
FALSE,TRUE,0,7100.5,0,0,0,185.5
FALSE,TRUE,0,7135.5,0,0,0,150.5
FALSE,TRUE,0,6566.5,157.5,52.5,0,37.5
FALSE,TRUE,0,6633.5,0,0,0,615
FALSE,TRUE,0,1843,54.5,30,0,651
TRUE,FALSE,0,7430,180.5,522,828.5,1172.5
FALSE,TRUE,0,24.5,136,0,1504,57.5
FALSE,FALSE,0,660,0,0,1504,24.5
TRUE,FALSE,0,343.5,740,0,1504,283.5
FALSE,TRUE,0,16760.5,489.5,0,940.5,283.5
FALSE,FALSE,0,2665.5,0,0,0,10
FALSE,FALSE,0,2658,0,0,0,17.5
FALSE,TRUE,0,350.5,18,0,0,640
FALSE,TRUE,0,82.5,47,0,0,80.5
FALSE,TRUE,0,4772,0,0,0,328
FALSE,TRUE,0,0,0,32,0,636
FALSE,TRUE,0,717,37.5,0,0,283.5
FALSE,FALSE,0,378.5,102.5,0,0,13.5
TRUE,FALSE,0,0,0,0,0,1197
FALSE,TRUE,0,1230.5,0,0,0,589.5
FALSE,TRUE,0,2781.5,92,0,0,76
FALSE,TRUE,0,730.5,37.5,0,0,270
FALSE,TRUE,0,0,54,0,0,280
FALSE,TRUE,0,5712,0,0,0,81
FALSE,TRUE,0,5097,0,0,0,696
FALSE,TRUE,0,124.5,47,0,0,38.5
FALSE,TRUE,0,7281,67,0,30,693
TRUE,FALSE,0,0,0,0,0,805.5
FALSE,TRUE,0,916,18,0,0,130.5
FALSE,TRUE,0,145.5,0,0,0,140
FALSE,TRUE,0,866,20,0,0,954
FALSE,TRUE,0,985.5,37.5,0,0,15
FALSE,FALSE,0,866.5,0,0,0,17.5
FALSE,TRUE,0,175,0,0,0,212
FALSE,TRUE,0,809,0,0,0,75
FALSE,FALSE,0,518.5,20,0,0,14
TRUE,TRUE,0,366,0,0,0,518
FALSE,FALSE,0,0,0,0,0,10.5
FALSE,TRUE,0,43.5,60,0,0,371
FALSE,FALSE,0,237,0,7.5,0,15
FALSE,FALSE,0,56,0,190.5,0,15
FALSE,TRUE,0,0,0,0,0,447
FALSE,TRUE,0,84.5,29,103.5,0,48
FALSE,TRUE,0,42,0,0,0,42
TRUE,TRUE,0,42,0,0,0,42
FALSE,TRUE,0,1491.5,0,391.5,0,154
FALSE,TRUE,0,1501.5,0,391.5,0,144
FALSE,FALSE,0,147.5,20,0,0,14
FALSE,TRUE,0,0,30,0,0,164
FALSE,TRUE,0,1120.5,0,391.5,0,525
FALSE,FALSE,0,293.5,52,0,0,27.5
FALSE,TRUE,0,157,292,36,0,124
FALSE,TRUE,0,406.5,56,0,0,93
FALSE,TRUE,0,398,292,36,0,28
FALSE,TRUE,0,0,0,24,0,36
FALSE,TRUE,0,445.5,330,0,0,145
FALSE,TRUE,0,568.5,56,0,0,24
FALSE,TRUE,0,4959,0,75,0,399
TRUE,TRUE,0,1131,15,192.5,28,42
FALSE,TRUE,0,4901.5,542.5,0,63,189
FALSE,FALSE,0,10,22.5,192.5,0,77
TRUE,TRUE,0,5170,289,0,0,1600
FALSE,FALSE,0,119,47,0,0,44
FALSE,TRUE,0,1507.5,0,0,28,92
FALSE,TRUE,0,6698,12,0,0,868
FALSE,TRUE,0,4561.5,752,0,63,262.5
FALSE,FALSE,0,1555,108.5,0,28,17.5
FALSE,TRUE,0,0,30,0,0,30
FALSE,FALSE,0,10691.5,713,0,63,72
FALSE,TRUE,0,917,349.5,0,0,18
FALSE,TRUE,0,7180.5,825.5,0,63,159
FALSE,TRUE,0,8266,718.5,0,63,337.5
FALSE,TRUE,0,0,0,0,0,1044
FALSE,TRUE,0,4589.5,797.5,0,63,234.5
FALSE,TRUE,0,5259,12,75,0,78
FALSE,TRUE,0,8997.5,606,0,63,70
FALSE,FALSE,0,1513,15,0,28,105
FALSE,FALSE,0,9177,541.5,0,0,15
FALSE,FALSE,0,5594,10.5,75,0,16
FALSE,FALSE,0,7394,346.5,0,13.5,21
FALSE,TRUE,0,0,20,0,0,424
FALSE,TRUE,0,5815,346.5,0,0,1152
FALSE,FALSE,0,903.5,489.5,0,0,12
FALSE,TRUE,0,2116.5,63.5,0,0,54
FALSE,TRUE,0,4964.5,270,0,0,32
FALSE,FALSE,0,5203,367.5,0,13.5,2212
FALSE,TRUE,0,4969,270,0,0,27.5
TRUE,TRUE,0,639.5,548.5,0,0,276
FALSE,TRUE,0,417,540.5,0,0,108
FALSE,TRUE,0,3191.5,166,0,13.5,56
FALSE,FALSE,0,920,13.5,0,0,14
FALSE,TRUE,0,786.5,512.5,0,0,129
FALSE,TRUE,0,3086,294,0,0,45
FALSE,TRUE,0,7346,346.5,0,13.5,69
FALSE,TRUE,0,2588.5,609,0,0,542.5
FALSE,TRUE,0,1687.5,104.5,0,0,668
FALSE,TRUE,9,911,654,52.5,0,56
FALSE,TRUE,0,529.5,168,0,412,15
FALSE,TRUE,0,3118.5,146,0,13.5,129
FALSE,TRUE,0,1140,168,0,412,72.5
FALSE,FALSE,0,1110,140,0,13.5,21
FALSE,FALSE,0,100,15,0,0,9
FALSE,TRUE,0,1050,140,0,13.5,81
FALSE,FALSE,0,576.5,25,141,0,12.5
FALSE,TRUE,0,726.5,111,0,0,828
FALSE,TRUE,0,3798,344,32,0,255.5
FALSE,TRUE,0,558,190,0,101.5,162
FALSE,FALSE,0,746.5,163.5,0,0,10.5
FALSE,TRUE,30,554.5,117.5,0,101.5,136
FALSE,TRUE,66.5,4434.5,869.5,0,0,31.5
FALSE,TRUE,0,2038,879.5,0,0,30
FALSE,TRUE,0,1789,935.5,0,0,1156
FALSE,TRUE,0,2834,600.5,0,0,400
FALSE,TRUE,66.5,4394,776,0,0,72
FALSE,TRUE,0,663,256,0,0,794.5
FALSE,TRUE,0,987.5,194.5,0,0,416.5
FALSE,TRUE,0,255.5,0,32,0,455
FALSE,TRUE,66.5,4418,869.5,0,0,48
FALSE,TRUE,144,10607.5,2260,63,0,178.5
FALSE,TRUE,0,4035,600.5,0,0,27
FALSE,FALSE,66.5,4385,869.5,0,0,81
FALSE,TRUE,66.5,5554.5,2346.5,0,0,206.5
FALSE,TRUE,66.5,5730,2100.5,0,0,511
FALSE,TRUE,0,1766.5,588.5,0,0,856
FALSE,TRUE,66.5,3826,776,0,0,640
FALSE,TRUE,0,2461,342,0,0,175.5
FALSE,TRUE,66.5,4277.5,772.5,0,0,122.5
FALSE,TRUE,0,1440,14,0,0,441
FALSE,FALSE,0,11456,2222,0,0,4
FALSE,TRUE,0,1775.5,879.5,0,0,292.5
FALSE,FALSE,0,2627.5,342,0,0,9
FALSE,TRUE,0,11442.5,2222,0,0,17.5
FALSE,FALSE,0,2601.5,588.5,0,0,21
FALSE,TRUE,66.5,8809.5,2230.5,0,0,684
FALSE,TRUE,0,1024.5,342,0,0,1612
FALSE,TRUE,0,10912,2222,0,0,548
FALSE,TRUE,0,1519.5,81,0,0,773.5
FALSE,TRUE,0,189,36,0,0,228
FALSE,FALSE,196,14656.5,2658,510,1298.5,42
FALSE,TRUE,0,78,280,0,0,72
FALSE,FALSE,0,13700.5,2439.5,510,1298.5,172
FALSE,TRUE,0,220.5,0,0,0,87.5
FALSE,TRUE,0,1826,25,0,0,70
FALSE,FALSE,0,12346.5,1641,174,1298.5,35
FALSE,FALSE,196,11173.5,2680.5,336,0,220.5
FALSE,TRUE,0,8063.5,1478.5,174,1298.5,96
FALSE,FALSE,0,4575.5,682.5,56,0,12
FALSE,TRUE,0,10976,2222,0,0,484
FALSE,TRUE,196,10814.5,2712,336,0,570.5
FALSE,FALSE,0,5803.5,80.5,0,0,21
FALSE,TRUE,144,12601.5,2181.5,63,0,90
FALSE,FALSE,196,14681,2658,510,1298.5,17.5
FALSE,FALSE,196,11785.5,2712,336,1298.5,128
FALSE,TRUE,196,12550.5,2658,336,1298.5,760
FALSE,TRUE,0,533.5,190,0,101.5,56
FALSE,TRUE,0,4948.5,531,56,0,528
FALSE,FALSE,0,87.5,0,0,0,220.5
FALSE,FALSE,0,1875,25,0,0,21
FALSE,FALSE,196,3275.5,1000.5,472,0,21
FALSE,TRUE,0,13657,1970.5,174,1298.5,87.5
FALSE,FALSE,0,5497.5,80.5,0,0,327
FALSE,FALSE,0,648,169,0,0,25
FALSE,TRUE,0,681,163.5,0,0,108.5
FALSE,TRUE,144,5978.5,670.5,63,0,604
FALSE,FALSE,144,9744.5,694.5,63,0,6
FALSE,FALSE,0,12349,1641,174,1298.5,32.5
FALSE,FALSE,0,5456.5,531,56,0,20
FALSE,FALSE,0,409.5,0,0,24.5,462
FALSE,FALSE,30,128,117.5,0,0,10
FALSE,FALSE,196,13478.5,2712,336,1298.5,13.5
FALSE,FALSE,0,661,169,0,0,12
FALSE,TRUE,0,5562,80.5,0,0,262.5
FALSE,FALSE,0,8132.5,1461.5,174,1298.5,27
FALSE,TRUE,144,9698,694.5,63,0,52.5
FALSE,FALSE,196,14590.5,2658,510,1298.5,108
FALSE,TRUE,0,225.5,190,0,101.5,364
FALSE,TRUE,0,48,25,141,0,280
FALSE,TRUE,0,12321.5,1801,174,1298.5,60
FALSE,TRUE,0,1798,25,0,0,98
FALSE,TRUE,0,1848,25,0,0,48
FALSE,TRUE,0,1724,25,0,0,172
FALSE,TRUE,0,2041,202.5,0,0,252
FALSE,FALSE,0,72,280,0,0,78
FALSE,TRUE,0,2121.5,81,0,0,171.5
FALSE,FALSE,144,3279.5,569.5,63,0,264
FALSE,TRUE,0,6807.5,1461.5,174,1298.5,1352
FALSE,FALSE,0,731.5,18,0,0,40.5
FALSE,TRUE,0,2611.5,261,0,32.5,60
FALSE,FALSE,0,6139,42,0,0,408
FALSE,FALSE,0,316,274.5,0,0,21
FALSE,TRUE,0,6097,42,0,0,450
FALSE,TRUE,0,1787,25,0,0,430.5
FALSE,FALSE,35,2202,286,0,32.5,30
FALSE,TRUE,152,1141,61,0,32.5,206.5
FALSE,FALSE,152,1315,61,0,32.5,32.5
FALSE,TRUE,35,2219,286,0,32.5,87
FALSE,FALSE,258.5,1550,136,54,0,12
FALSE,TRUE,0,5481,247.5,0,0,184
FALSE,FALSE,0,2125.5,25,0,0,92
FALSE,TRUE,258.5,860.5,160.5,0,0,266
FALSE,TRUE,258.5,1439,160.5,0,0,130.5
FALSE,FALSE,0,2634,258,0,0,7.5
FALSE,TRUE,0,6467,608,0,99,164
FALSE,TRUE,0,48,0,643.5,0,824
FALSE,TRUE,0,4386,179.5,0,0,138
FALSE,FALSE,0,2189.5,25,0,0,28
FALSE,FALSE,258.5,1869,160.5,0,0,48
FALSE,TRUE,94.5,1253,85.5,54,0,22
FALSE,TRUE,0,5448,247.5,0,0,217
FALSE,FALSE,0,2803.5,86,0,0,4477.5
FALSE,TRUE,0,2144,25,0,0,73.5
FALSE,TRUE,268.5,1474.5,160.5,0,0,87.5
FALSE,TRUE,0,2343.5,102.5,0,0,658
FALSE,TRUE,0,22,0,54,0,60
FALSE,TRUE,0,5285,410.5,0,0,280
FALSE,FALSE,0,4155,102.5,0,0,10.5
FALSE,TRUE,0,1753.5,25,0,0,464
FALSE,TRUE,0,123.5,124,0,0,76.5
FALSE,TRUE,0,3801.5,102.5,0,0,364
FALSE,TRUE,0,3903,102.5,0,0,262.5
FALSE,TRUE,0,160,124,0,0,40
FALSE,FALSE,0,2620,258,0,0,66.5
FALSE,TRUE,0,5043,247.5,0,0,228
TRUE,TRUE,0,5797,526.5,0,99,868
FALSE,TRUE,0,7373,608,0,99,518
FALSE,TRUE,152,507,227,0,0,264
FALSE,FALSE,0,2643.5,261,0,32.5,28
FALSE,TRUE,0,5409.5,247.5,0,0,255.5
FALSE,TRUE,0,437.5,388.5,0,0,25
FALSE,FALSE,164,760,117,0,0,9
FALSE,FALSE,0,440,58,0,0,12
