attributes,business_id,categories,city,full_address,hours,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type
"{'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",ISKLP0qxApATxRlUDob6Cg,"['Department Stores', 'Fashion', 'Shopping']",Homestead,"360 Waterfront Dr E
Homestead
Homestead, PA 15120",{},40.4103739,-79.90988809999999,Target,['Homestead'],True,15,3.5,PA,business
"{'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': False, 'street': False}}",WaHXyBwljbKNPmmJZn5j8Q,"['Food', 'Grocery']",West Mifflin,"1886 Homeville Rd
West Mifflin, PA 15122",{},40.3736775,-79.8737336,Shop 'n Save,[],True,3,3.0,PA,business
"{'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Good for Kids': True, 'Price Range': 3, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",4ykgzzzGEWjMD5lwk1-l9A,"['Sporting Goods', 'Bikes', 'Shopping']",West Mifflin,"347 Lebanon Rd
West Mifflin, PA 15122",{},40.37148679999999,-79.9271583,Big Bang Bicycles,[],True,12,4.5,PA,business
"{'Accepts Credit Cards': False, 'Price Range': 1, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",kKmvSJ6Z8UVPdrnL74bqrg,"['Thrift Stores', 'Shopping']",Pittsburgh,"935 Ohio River Blvd
Avalon
Pittsburgh, PA 15202","{'Saturday': {'close': '18:00', 'open': '09:00'}, 'Monday': {'close': '18:00', 'open': '09:00'}, 'Friday': {'close': '18:00', 'open': '09:00'}, 'Thursday': {'close': '18:00', 'open': '09:00'}, 'Wednesday': {'close': '18:00', 'open': '09:00'}, 'Tuesday': {'close': '18:00', 'open': '09:00'}}",40.495483,-80.065652,Red White & Blue Thrift Store,['Avalon'],True,17,4.0,PA,business
{'Accepts Credit Cards': False},CxAupi9tjzTaGG5Fasu9Eg,"['Shopping', 'Home Services', 'Movers', 'Home & Garden', 'Antiques', 'Home Decor']",Pittsburgh,"1234 Straka St
Crafton Heights
Pittsburgh, PA 15204","{'Saturday': {'close': '14:00', 'open': '09:00'}, 'Monday': {'close': '19:00', 'open': '08:00'}, 'Friday': {'close': '14:00', 'open': '09:00'}, 'Thursday': {'close': '14:00', 'open': '09:00'}, 'Wednesday': {'close': '14:00', 'open': '09:00'}, 'Tuesday': {'close': '14:00', 'open': '09:00'}}",40.44999620000001,-80.05755649999999,Paul's Clock Repair,['Crafton Heights'],True,5,5.0,PA,business
{'Good for Kids': True},XWLtYPhCpHht5Zn52zp3-Q,"['Museums', 'Landmarks & Historical Buildings', 'Arts & Entertainment', 'Public Services & Government']",Pittsburgh,"7227 Reynolds St
Point Breeze
Pittsburgh, PA 15208","{'Saturday': {'close': '17:00', 'open': '10:00'}, 'Sunday': {'close': '17:00', 'open': '10:00'}, 'Friday': {'close': '17:00', 'open': '10:00'}, 'Thursday': {'close': '17:00', 'open': '10:00'}, 'Wednesday': {'close': '17:00', 'open': '10:00'}, 'Tuesday': {'close': '17:00', 'open': '10:00'}}",40.4484869,-79.9012971,Frick Art & Historical Center,['Point Breeze'],True,30,4.0,PA,business
"{'Accepts Credit Cards': True, 'Price Range': 1, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': False, 'street': True}}",21hqlWgjmNgW4pBZJDuziQ,"['Food', 'Grocery']",Pittsburgh,"1616 Broadway Ave
Beechview
Pittsburgh, PA 15216",{},40.409944,-80.024985,Market On Broadway IGA,['Beechview'],True,5,3.0,PA,business
"{'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Price Range': 1, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",c1ixeRdwTvNt6YLew-sSCg,"['Shopping Centers', 'Shopping']",Pittsburgh,"1165 McKinney Ln
West End
Pittsburgh, PA 15220",{},40.4224571,-80.03558840000001,Parkway Center Mall,['West End'],True,6,1.0,PA,business
"{'Wheelchair Accessible': False, 'Accepts Credit Cards': False, 'Price Range': 1, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",cKtBFMESwsUWxTv6QjkTGQ,"['Thrift Stores', 'Shopping']",Brookline,"890 Saw Mill Run Blvd
Bon Air
Brookline, PA 15226","{'Saturday': {'close': '18:00', 'open': '09:00'}, 'Monday': {'close': '18:00', 'open': '09:00'}, 'Friday': {'close': '18:00', 'open': '09:00'}, 'Thursday': {'close': '18:00', 'open': '09:00'}, 'Wednesday': {'close': '18:00', 'open': '09:00'}, 'Tuesday': {'close': '18:00', 'open': '09:00'}}",40.410734999999995,-80.00658,Red White & Blue Thrift Store,['Bon Air'],True,29,3.5,PA,business
"{'Accepts Credit Cards': True, 'Price Range': 3, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': False, 'street': False}}",PhEqWW5A6b3bOwci02azYA,"['Fashion', 'Shopping', 'Shoe Stores', 'Leather Goods', 'Shoe Repair', 'Local Services']",Pittsburgh,"5301 Grove Rd
Pittsburgh, PA 15236","{'Saturday': {'close': '18:00', 'open': '09:00'}, 'Monday': {'close': '20:00', 'open': '09:00'}, 'Friday': {'close': '20:00', 'open': '09:00'}, 'Thursday': {'close': '20:00', 'open': '09:00'}, 'Wednesday': {'close': '20:00', 'open': '09:00'}, 'Tuesday': {'close': '20:00', 'open': '09:00'}}",40.357482,-80.002086,Frank's Shoe Repair,[],True,3,5.0,PA,business
