,biz_id,lat,lon,marker,dec_score,num,score
7,cvJDHk1ho0DxaF26etcr8Q,36.142935,-115.207747,dot3,yellow,1,168
10,CoJivG0wxNIBXyOF7MNqSQ,36.1263784,-115.1969938,dot3,yellow,1,195
11,pCobXgTy6DIfBaT4pjlq0w,36.1430045,-115.2080092,dot3,yellow,1,96
14,JgpKLikZPbbXYPtILy3-wg,36.13191223,-115.1924057,dot3,yellow,1,160
15,9-O8qKGQQCYXdBlj4iv7bw,36.1444845,-115.1747246,dot3,yellow,1,216
27,vLMFwcFfA2JyFVMDrcFo1g,36.1438599,-115.178936,dot3,yellow,1,135
31,SvS58LlrEMHjSwJmpJNKGA,36.1590906,-115.1721079,dot3,yellow,1,188
33,yY5y9PjyPWd-8Pl1XkkBVA,36.15102768,-115.2087708,dot3,yellow,1,153
38,cZxez9tUb9hqV3KXq5YPAQ,36.1446996,-115.1551759,dot3,yellow,1,273
39,ocZ8pz-8iSz5avdPKnoalA,36.15972815,-115.1719898,dot3,yellow,1,122.5
41,GLWix4aqJoD4HyvKqLdP8A,36.1441893,-115.1744492,dot3,yellow,1,98
43,PTbikfcSHR1dTze0EJQMlA,36.145733,-115.190277,dot3,yellow,1,96
56,QkVSaXjg5475VD3sZixCZQ,36.143114,-115.208505,dot3,yellow,1,182
66,V3S6RpKgYc5XCLjgI9JeeQ,36.144017,-115.193618,dot3,yellow,1,119
68,9JZzT2BMalNseFn11x5EIQ,36.132369,-115.1916549,dot3,yellow,1,110
78,Xo7K1LugLnT4pGc5TtwHRA,36.144807,-115.2026045,dot3,yellow,1,186
79,Tigw_9LXyHL63Eu3XAXwRw,36.1263784,-115.1969938,dot3,yellow,1,192
84,HxV4JCF-h0Novbbz5doapA,36.150704,-115.15304,dot3,yellow,1,100
88,uy9IblmbJogF1TEUc6JHzw,36.147371,-115.155365,dot3,yellow,1,202.5
93,q0aoi6vsi9TBU5-k3FfOOw,36.1530812,-115.1509664,dot3,yellow,1,297.5
100,KHsTmXPujzm6-VrnyhT0dw,36.157345,-115.1483131,dot3,yellow,1,238
103,c8eY_s8VO4qjAhOXo3Ua2g,36.1455103,-115.1163131,dot3,yellow,1,171
106,6S8VwQ22xdj7rOX00SceJg,36.1439863,-115.1464168,dot3,yellow,1,143.5
126,b6qYCOz0vzJW4U81XLY8IA,36.1948837,-115.1606906,dot3,yellow,1,144
138,QXTN5WwZxvf-Z940RmDUdQ,36.1941506,-115.2061228,dot3,yellow,1,269.5
143,No0SNrxkX6ADEde-9QwtMw,36.1961848,-115.2419895,dot3,yellow,1,199.5
144,CpUPzwk4rsV6UUgqEu1nqQ,36.1964438,-115.2402759,dot3,yellow,1,93
145,rAZglrxLotA9xaa7KPXV5g,36.18557,-115.207581,dot3,yellow,1,316
147,jhO8q-4sAvlkEUC3HbBRmw,36.071737,-115.1978446,dot3,yellow,1,164
148,SfHdMvLXrOeJmgpQB6AFRA,36.1879988,-115.2075749,dot3,yellow,1,156
152,Xro3j2fouA42Stc540ZDvw,36.197314,-115.241409,dot3,yellow,1,112.5
155,Fw95xLMdwO9LoOtbBThr9w,36.19813466,-115.2424329,dot3,yellow,1,152.5
165,LcVBQ-7aF87OR-vlKX5m-Q,36.1605253,-115.0616531,dot3,yellow,1,157.5
174,cD2VsBOKxygjV7BKbU8SRA,36.1682808,-115.0615651,dot3,yellow,1,94.5
178,7P9k2NQPeIyF1TkH5cKQVg,36.1782211,-115.0617214,dot3,yellow,1,216
181,hhC02OKU6BWRvrNJQiEIUw,36.0932467,-115.203383,dot3,yellow,1,112
185,T2NesLFF9Xhlho3iw8i53g,36.097522,-115.208574,dot3,yellow,1,112
187,sC58XGwsZowovN1CnKktOg,36.098857,-115.208321,dot3,yellow,1,148
190,qp6lyLN1TuRu3vkwbdRjlA,36.2395163,-115.0562582,dot3,yellow,1,225
192,QTJdaJ9IWf0fC0bK2Bdw7Q,36.071999,-115.114102,dot3,yellow,1,112
201,bXfMEP__URx7f-s1GT8Teg,36.0722521,-115.0993861,dot3,yellow,1,325.5
206,ZZtEx_UutNxz9B5knTL4tQ,36.0972977,-115.1013785,dot3,yellow,1,216
209,BSlmhfVEsy16C_ZUpcyB8w,36.079498,-115.110967,dot3,yellow,1,168
211,w9KBaltlg7B_tca-nNfj_A,36.0706671,-115.0911608,dot3,yellow,1,185.5
212,rlrc_AQC4Wn-_GKuzmrfGQ,36.070731,-115.088063,dot3,yellow,1,116
217,xSAG_asR5if0p1Dfk0ISsg,36.111784,-115.060916,dot3,yellow,1,206.5
218,thlVek1kUo3fyxUEap65zw,36.111784,-115.060916,dot3,yellow,1,120
221,1o2Lx_YMC2xpuBG2q00LAQ,36.10839835,-115.0468477,dot3,yellow,1,219
228,s3u1ET2VN9NkY0qsn9gSwQ,36.1970662,-115.2500796,dot3,yellow,1,200
230,jsO9c15l1KJ5ncBid3pnmA,36.18224438,-115.2602711,dot3,yellow,1,132
233,8YN0_08op4_chO3GTOUJLQ,36.1962858,-115.2503143,dot3,yellow,1,178.5
234,3Wg1LVOommgixgqwk-gn8w,36.1915723,-115.2593102,dot3,yellow,1,105
235,O6MyV5uqwZabD5dKbT294Q,36.1956158,-115.2582758,dot3,yellow,1,283.5
