,biz_id,lat,lon,marker,dec_score,size,dec_score_num,score
1,x5Mv61CnZLohZWxfCVCPTQ,33.4795416,-112.0734183,dot3,blue,1,2,33
2,2ZnCITVa0abGce4gZ6RhIw,33.468988,-112.074315,dot3,green,1,1,17.5
3,EmzaQR5hQlF0WIl24NxAZA,33.4483992,-112.0717019,dot3,blue,1,2,57.5
4,KPoTixdjoJxSqRSEApSAGg,33.47793397,-112.0735236,dot3,red,1,4,1288
5,e5kc0CQ4R-PCCDgb274gSg,33.4526031,-112.0691194,dot3,red,1,4,668.5
6,gBcpDl0quCLABsg5OuSFww,33.4495394,-112.0656645,dot3,blue,1,2,33
7,72N6TdH5MdUWE2YhYRbyxw,33.47626,-112.074248,dot3,green,1,1,17.5
8,eOgUKCy5-sK-leqIBiNokg,33.4484911,-112.0744277,dot3,green,1,1,9
9,neGAQFkBNI8-rpPBLBzNkw,33.46544,-112.06909,dot3,blue,1,2,28
10,45puCRQ6Vh_IIAy7kkfFDQ,33.4484654,-112.0712574,dot3,red,1,4,595
11,nc3IiY5LNdmEwUZCW84yuA,33.4527955,-112.0693177,dot3,blue,1,2,45
12,P7wKlbSRsoRrfH3DFOY08A,33.4756064,-112.0740016,dot3,yellow,1,3,129
13,BESmH-lmMm34_EefL8X9fQ,33.429424,-112.073929,dot3,red,1,4,816
14,D09yG6Z3gcsh24Qn7Y4gYA,33.4657117,-112.0657286,dot3,yellow,1,3,219
15,kaIue7GRCmkPzDeHDBTttQ,33.4640983,-112.073569,dot3,red,1,4,608
16,j8nyAaN_w5t6wYv-ni23sg,33.443864,-112.070061,dot3,red,1,4,231
17,5XIvwfbIa-vuFEkkeCQ6kQ,33.4450348,-112.0703479,dot3,green,1,1,20
18,VsO_rhXi5lgbaGxNwoEZsQ,33.4577071,-112.0686108,dot3,red,1,4,270
19,Y293fHh5SZ0_9BZm4M6BCg,33.4492272,-112.0722653,dot3,yellow,1,3,171
20,IceZ4BtTz76eppjNWm-c6A,33.4549264,-112.086757,dot3,yellow,1,3,206.5
21,QsvRjgQacMMFf8dit7qqDw,33.4392182,-112.0736473,dot3,blue,1,2,28
22,LXhL5X3edNRy7epku6UAEw,33.44742,-112.0706,dot3,blue,1,2,28
23,XI-_Y2XRw03mozGx0Z90Gw,33.4492227,-112.0740069,dot3,yellow,1,3,77
24,qsWxbgQwuomXvMseg23DGg,33.4526031,-112.0691194,dot3,yellow,1,3,207.5
25,DlCtdbceo4YNSI53cCL2lg,33.46425,-112.074153,dot3,red,1,4,663
26,kR5i58Pcse1FD9tk-yYLlA,33.450875,-112.066333,dot3,yellow,1,3,77
27,2I666dqzs1XB6xigIKa9bA,33.44842482,-112.0748021,dot3,yellow,1,3,189
28,yExYqENb4F6qH6kJxTOaSQ,33.44568253,-112.0693207,dot3,blue,1,2,66.5
29,9BH18avE46LlHMvJn67MaA,33.4499524,-112.0740511,dot3,yellow,1,3,228
30,trAvQPp7gps0Btk-2AmLpw,33.465499,-112.081565,dot3,red,1,4,402.5
31,s6zzKc7UvwDRxn-BFlhiTg,33.4527955,-112.0693177,dot3,green,1,1,8
32,4WcxnNv_lzCIG2eb8O5Mlg,33.44455,-112.073577,dot3,blue,1,2,24.5
33,gkv2XvXpFgiq4Bb2XK7YmQ,33.44688506,-112.0710759,dot3,red,1,4,279
34,If2DUhmWIvlu2JFc_rR-Bw,33.448333,-112.074127,dot3,yellow,1,3,87.5
35,xH5axHFadmc7Veutt376TA,33.4655868,-112.0654701,dot3,green,1,1,21
