biz_id,lat,lon,score
mVHrayjG3uZ_RLHkLj-AMg,40.408735,-79.8663507,49.5
KayYbHCt-RkbGcPdGOThNg,40.415517,-80.067534,60
wJr6kSA5dchdgOdwH6dZ2w,40.3877323,-80.0928745,28
fNGIbpazjTRdXgwRY_NIXA,40.3964688,-80.0849416,20
b9WZJp5L1RZr4F1nxclOoQ,40.3967441,-80.0847998,171
zaXDakTd3RXyOa7sMrUE1g,40.404638,-80.089985,20
WETE_LykpcnrC1sFcQ5EGg,40.40867,-80.085279,21
rv7CY8G_XibTx82YhuqQRw,40.3868915,-80.0937037,10.5
SQ0j7bgSTazkVQlF5AnqyQ,40.408343,-80.084861,20
wqu7ILomIOPSduRwoWp4AQ,40.391255,-80.073426,28
P1fJb2WQ1mXoiudj8UE44w,40.4082572,-80.0854582,161
PK6aSizckHFWk8i0oxt5DA,40.412086,-79.910032,10
sRqB6flj3GtTZIZJQxf_oA,40.4116918,-79.9123428,7.5
6ilJq_05xRgek_8qUp36-g,40.413496,-79.9044562,72
MKyk4F4HSzHF8v-4cYe3Ww,40.4094884,-79.9151108,87.5
1qCuOcks5HRv67OHovAVpg,40.405311,-79.912595,56
sbW8qHJgzEIH42B0S-3New,40.4097113,-79.9140822,156
McikHxxEqZ2X0joaRNKlaw,40.4094884,-79.9151108,329
EoAY1JSVeJriBzId8lUQwQ,40.4070709,-79.917508,115
TfvWSIAMFZ9zI3y2-K6wOA,40.3867759,-79.9028194,10
tU-YtoW339PXJmUGSix_AQ,40.4087041,-79.9175086,37.5
6p9TlP2I8S4agxYMNFSDjg,40.410967,-79.9141364,99
JDDeaNfb0JXD1NbznSIC9g,40.4071112,-79.91615,192
FiXamVMgMf9U0VqFHDZSEA,40.407152,-79.9166162,51
uLnDFdn011hEroQQMLmxNQ,40.385745,-79.9033649,15
eznh0XjVtv924K-KYx_ilQ,40.4113236,-79.9132525,39
usSROUMiAgPcxV3Ym0OxMQ,40.40887838,-79.91808943,292
CL3tZqbYT7B5zgewKCS6-Q,40.3849854,-79.8626605,4
u22QDAON1kk0wjoTliyftw,40.389192,-79.868305,12
53Yk2EODWnV9qHQECzeHVQ,40.3736775,-79.8737336,17.5
iBZRphMDFcS2aMbawc1OvA,40.3736775,-79.8737336,20
r8BwdblCW-ZUES37BL0khw,40.472505,-80.074153,45
OZfpG8tDCcIEq8pzgZdyKw,40.46562,-80.0656106,15
T49ZvBa6mD4xHSmjHe-ArA,40.494301,-80.0533931,36
eOv0Dbq2E8sd0CKMAqTImw,40.495887,-80.056877,60
_jsJFrAmFVPRio0eEVExbA,40.492067,-80.06235,10
Lml0-yTNsMYsP9IrSMxw9A,40.4970698,-80.0586009,15
QVZBd_eu0oJ4IN0md2XPTQ,40.496371,-80.057905,15
udZJ8YgsHdqtFDQkyPTV1Q,40.487671,-80.055464,9
ucKQlQvOeJxETLNkpKcaSw,40.4966408,-80.057381,59.5
ZL6DNzyenFm9Kpz6uADlNg,40.450249,-79.9145,115
OcTG-KzDleuRub-pb6JS3Q,40.4852511,-79.9259794,20
Y2p07YEC8xOsYTHWf0UxiA,40.4582511,-79.9251169,45
g58NW9q4F09wTMiI7EIjmg,40.4653904,-79.9229971,45.5
Pu5uzlZ05pqVlx6LcZbfgw,40.458703,-79.922447,21
83_p9vIqOq1TUIf3_GD7bA,40.474884,-79.918862,414
Ts4xsKPU7FNPPZRj-nRjIg,40.4583902,-79.9255146,180
UtWJ8NGMg-3z28s0RzlUoQ,40.4579265,-79.9180322,33
bZcqORBnVApUA2-SEn7VEQ,40.4584723,-79.9187095,12
B9C6j80ob0f1pwi1Cnnd1Q,40.4582251,-79.9251182,69
tvXTHj9V5sgRoeVJW_FiTg,40.4572607,-79.9336632,36
2SwC8wqpZC4B9iFVTgYT9A,40.458138,-79.924797,796
PzG0XmAmtXFs6Fdnubf41g,40.464485,-79.935388,572
lHP5STO7aomlEQixH8m1aA,40.4572935,-79.9252056,164
#NAME?,40.4481991,-79.8954753,270
l_Wey2YC6NvVUIH8vTygGg,40.457835,-79.9275276,216
W7-Ybhe6JWJFXjcbmgvdyA,40.4147064,-79.9877685,9
qUeBDN0D8SC93KeAHhiL-g,40.4216159,-79.9934656,324
YXuvFMtygHPFEOEXgRtgLQ,40.4218925,-79.992815,12.5
LltDzuzRbAJbSrqD4JH-3A,40.3923844,-79.9866275,21
VkqKyq09rDYMhFk5nElWWA,40.393115,-79.986911,12
QIJa5h2d65Bgh82zct7c7A,40.388311,-79.996225,44
PTkChuI3GPCw-ZL1Iph76A,40.3923831,-79.9972486,21
BbIh5NTizhV4Fq_mLmNkpg,40.387167,-79.98224,4.5
IxQ1ATP_Wg_QujO9nywzcQ,40.455167,-79.999815,440
TyIsuojeKcTb4Acfg7xqew,40.4541341,-79.9981189,32
oj8bMz76cKXQClpFTFNW9w,40.4535039,-79.9992711,35
k1A8pNspBPinGDivxkuDSA,40.4489884,-80.0088714,24.5
#NAME?,40.455833,-80.006512,10.5
Z7HNl4Gz00cA0_wt0S-vSw,40.4621686,-80.0190648,54
OjzR6hUYasFReo0vhVn0-w,40.455167,-79.994957,24
6AnorAMPkTdSDbUkOoV1Rw,40.4643755,-79.9821671,17.5
rEKBr81s19Soh3dYj4bcGQ,40.4566455,-80.0070383,10.5
q_BKmbdlYfQJroJVHfYMUQ,40.4566092,-80.0015054,284
vMCCvnDU-Iz_D_pmbcMqzA,40.4534984,-80.0012052,17.5
hUV4bjXE8Ijd-pDNr8S6mA,40.455929,-80.0065429,27
Z101WZaISochG6g7tI2ZVw,40.4480678,-80.0042395,144
Eixtf79t1_ZKaC-7J2kAWg,40.4535915,-80.0008071,49
Z0OGW8PysysRXE0dR7QxQQ,40.456259,-80.014446,48
I9-Ei8_KYtMjbixNJSCvwA,40.4534946,-79.9993338,10.5
URGZtJhOCrbJ8-RkLvslOg,40.4481509,-80.0040779,9
yfuoL_w76WFVHcGJbw0IIg,40.4846476,-80.0354937,18
YUZVBdGmagwXV-yOhR-1GQ,40.4851129,-80.0416964,25
OIL-eZX8d10jgWPLW-E7zA,40.4810824,-80.0414027,27
PSlOtPIo28BvWOzdLmRRRQ,40.3959923,-80.0350352,36
wan0X-oHpLgGTPXqaICZCw,40.409125,-80.024957,28
QnyzlVMyx0Exri-Lay10cA,40.388562,-80.049448,59.5
81sqVj0xHyJXGYT0ip5fmQ,40.38892,-80.049921,17.5
m61vZsAxmTEq3uiCjFjM8Q,40.3942631,-80.0352133,84
93UCt9OgWYmypZCpXtUu8g,40.412659,-80.030322,301
ORTRrw3ClZ0Ld0LgY1H_5g,40.395871,-80.033585,52.5
9aw0t0rlACKkMaxsX0KlKA,40.3958828,-80.0466445,20
5Udv4CASAXB2eH66TefWPQ,40.3897336,-80.0409102,216
2Igiyhi82R8_QaaPplRmCw,40.3959206,-80.0348023,778.5
Cex2R008tMFg8R5fAtf77w,40.3966306,-80.0357966,87.5
n7G2XFGvmS3duDJ4AzjKiQ,40.420335,-80.030114,47.5
8tBfgYCI6Fz9xrSYCYCYXA,40.420335,-80.030114,33
Tb7hQ37UFA2QFaMwjFieQw,40.414716,-80.03063,12.5
