biz_id,lat,lon,score
_SM8UKIwBNbmj1r629ipoQ,36.1924136,-115.3043961,31.5
l6QcUE8XXLrVH6Ydm4GSNw,36.197365,-115.191711,39
AgtFQVxo-PGQVsOdY6Nvdg,36.17311,-115.125401,12
muqFM9Hoamh_fGL4MPeZqg,36.0174194,-115.1186131,73.5
AFDFOs2GaIyUArGyEUDQzQ,36.125908,-115.197904,465
FV16IeXJp2W6pnghTz2FAw,36.126177,-115.193971,5299
cvJDHk1ho0DxaF26etcr8Q,36.142935,-115.207747,168
10UcN8MF1kQiyTJAfHKvfQ,36.145672,-115.187809,15
R5e2XWtpa_CA77MIXEyCTg,36.130335,-115.206002,12.5
CoJivG0wxNIBXyOF7MNqSQ,36.1263784,-115.1969938,195
pCobXgTy6DIfBaT4pjlq0w,36.1430045,-115.2080092,96
qbXEkNp310Mc0CIs0YJdSg,36.1263667,-115.197655,20
V8id7mkt3nJYOD_HthEn1w,36.1445245,-115.1908392,24.5
JgpKLikZPbbXYPtILy3-wg,36.13191223,-115.1924057,160
9-O8qKGQQCYXdBlj4iv7bw,36.1444845,-115.1747246,216
PsOvURXqpy8iZX2J8y429A,36.144997,-115.175625,390
Yq8LiVymGA7vBpGCQuDfRw,36.1262669,-115.2062973,2061.5
nzQJqTrcazg23EjdaHgqDg,36.125908,-115.197904,17.5
UKKz4HdQC0aH9j5lLi4u8Q,36.12648882,-115.1934267,1211
A2aVN_Yw3xDz4x7gGtmYog,36.1463479,-115.1905468,28
euGwFsKJAkkO7kdgOkT9qg,36.1486584,-115.2098129,10.5
IALHPP1RDtpXV9KnUM0EQQ,36.1472,-115.1892,42
LM71VvmoAWDD5z8h7XoVig,36.145118,-115.20472,592
k5h1lqeM70OM3JJdrYH5IQ,36.153466,-115.207382,4.5
pNqHRWlrbh71zbPZNd7_2g,36.126543,-115.206888,30
idvjjh3yCDu7Hupzl89iQw,36.14402,-115.194408,3
vLMFwcFfA2JyFVMDrcFo1g,36.1438599,-115.178936,135
Gv3ivlNN44OJbb1KxVAPRQ,36.1457714,-115.1907265,68
4jxe81SmrVLp_XDUIpXYMg,36.1447963,-115.200935,7.5
UVZ5auVZrbvgJ0VbWW_P8Q,36.14397437,-115.184269,35
SvS58LlrEMHjSwJmpJNKGA,36.1590906,-115.1721079,188
