biz_id,lat,lon,score
x5Mv61CnZLohZWxfCVCPTQ,33.4795416,-112.0734183,33
2ZnCITVa0abGce4gZ6RhIw,33.468988,-112.074315,17.5
EmzaQR5hQlF0WIl24NxAZA,33.4483992,-112.0717019,57.5
KPoTixdjoJxSqRSEApSAGg,33.47793397,-112.0735236,1288
e5kc0CQ4R-PCCDgb274gSg,33.4526031,-112.0691194,668.5
gBcpDl0quCLABsg5OuSFww,33.4495394,-112.0656645,33
72N6TdH5MdUWE2YhYRbyxw,33.47626,-112.074248,17.5
eOgUKCy5-sK-leqIBiNokg,33.4484911,-112.0744277,9
neGAQFkBNI8-rpPBLBzNkw,33.46544,-112.06909,28
45puCRQ6Vh_IIAy7kkfFDQ,33.4484654,-112.0712574,595
nc3IiY5LNdmEwUZCW84yuA,33.4527955,-112.0693177,45
P7wKlbSRsoRrfH3DFOY08A,33.4756064,-112.0740016,129
BESmH-lmMm34_EefL8X9fQ,33.429424,-112.073929,816
D09yG6Z3gcsh24Qn7Y4gYA,33.4657117,-112.0657286,219
kaIue7GRCmkPzDeHDBTttQ,33.4640983,-112.073569,608
j8nyAaN_w5t6wYv-ni23sg,33.443864,-112.070061,231
5XIvwfbIa-vuFEkkeCQ6kQ,33.4450348,-112.0703479,20
VsO_rhXi5lgbaGxNwoEZsQ,33.4577071,-112.0686108,270
Y293fHh5SZ0_9BZm4M6BCg,33.4492272,-112.0722653,171
IceZ4BtTz76eppjNWm-c6A,33.4549264,-112.086757,206.5
QsvRjgQacMMFf8dit7qqDw,33.4392182,-112.0736473,28
LXhL5X3edNRy7epku6UAEw,33.44742,-112.0706,28
#NAME?,33.4527955,-112.0693177,315
XI-_Y2XRw03mozGx0Z90Gw,33.4492227,-112.0740069,77
qsWxbgQwuomXvMseg23DGg,33.4526031,-112.0691194,207.5
DlCtdbceo4YNSI53cCL2lg,33.46425,-112.074153,663
kR5i58Pcse1FD9tk-yYLlA,33.450875,-112.066333,77
2I666dqzs1XB6xigIKa9bA,33.44842482,-112.0748021,189
yExYqENb4F6qH6kJxTOaSQ,33.44568253,-112.0693207,66.5
9BH18avE46LlHMvJn67MaA,33.4499524,-112.0740511,228
trAvQPp7gps0Btk-2AmLpw,33.465499,-112.081565,402.5
s6zzKc7UvwDRxn-BFlhiTg,33.4527955,-112.0693177,8
4WcxnNv_lzCIG2eb8O5Mlg,33.44455,-112.073577,24.5
gkv2XvXpFgiq4Bb2XK7YmQ,33.44688506,-112.0710759,279
If2DUhmWIvlu2JFc_rR-Bw,33.448333,-112.074127,87.5
xH5axHFadmc7Veutt376TA,33.4655868,-112.0654701,21
Vvh2Hd4SsZjEEfKLNKAEWw,33.4793076,-112.0738063,48
sInUSy63Oh455uWs9p9OqQ,33.477111,-112.074398,28
x8WoC_7WHzXNmt6J13Nbvw,33.477594,-112.072914,8
wki-Qlp3OWgH0XtZ-Jz_WQ,33.44837568,-112.0727069,172
OoHWabV-ym7_HWlHeXTsVA,33.479508,-112.074206,185.5
oSKT5oZX1NWYaHwOWL5lag,33.4793963,-112.0736133,150.5
QAe9UHKsxPdXQovBpaznMQ,33.476644,-112.0736968,37.5
q1nDSpmV-FdTBNj6UuZvTg,33.4796505,-112.0742162,615
muCl5p-9ut1sY0aKeUeRhw,33.463172,-112.074725,651
oCA2OZcd_Jo_ggVmUx3WVw,33.44480198,-112.0721177,1172.5
eK6KGMKqU_4nB9RdayZD7Q,33.4423368,-112.0657857,57.5
jn3OgTqiQIFymRA9U0PTfQ,33.444799,-112.066662,24.5
1-1VcGTL3GyCqUpXZLFTZA,33.445956,-112.06625,283.5
odhXwWaYZvD_icIN6f_DbA,33.4574932,-112.0740241,283.5
avPNEqlXgyBvTXjb-ujQFA,33.4794961,-112.0469586,10
ldIxXmxD3Cku0vODGYb9dQ,33.4794961,-112.0469586,17.5
hWhVP-28LYP3llaMlAJ_JA,33.466442,-112.032374,640
ixTr1qXUFGTzyaZUuCDDvg,33.4654334,-112.063548,80.5
ZoQAOnEFnyHjSpomtfqesA,33.4702022,-112.0653186,328
apCfJVnRyaw6oVUBKujpUQ,33.45107,-112.055957,636
ykfTh6HI219NoMsWBxulxw,33.466043,-112.05026,283.5
McdTNj-TUMOlfkHwQWs4rg,33.4737197,-112.0476524,13.5
tb24fvNJfHhyKEXkKn12Xw,33.4588282,-112.0610433,1197
